recruitment, n_pat, final_events, interim_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, crossing, effect_size_ph, hr_before, hazard_trt_before, followup, hazard_trt_after, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, ms_surv_8_trt, ms_surv_12_trt, ms_surv_8_ctrl, ms_surv_12_ctrl, cutoff_used
547.875, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.3, 0, 0.5, 1.5, 0.000948866776947222, 2832.47266016521, 0.000571542695048147, 0.000257561512920438, 1403.00864745787, 1212.7653569285, 1317.36090921173, 1095.75, 0.920390078909883, 0.903513605282343, 0.870079539983437, 0.811593265098562, 0.857243982853073, 0.7937005259841, 2832.47266016521
913.125, 1500, 750, 375, 750, 750, 0.000632577851298148, 0.3, 0, 0.5, 1.5, 0.000948866776947222, 2832.47266016521, 0.000571542695048147, 0.000257561512920438, 1403.00864745787, 1212.7653569285, 1317.36090921173, 1095.75, 0.920390078909883, 0.903513605282343, 0.870079539983437, 0.811593265098562, 0.857243982853073, 0.7937005259841, 2832.47266016521
547.875, 300, 150, 75, 150, 150, 0.00189773355389444, 0.3, 0, 0.5, 1.5, 0.00284660033084166, 944.157553388402, 0.00156076442873287, 0.000736172106225932, 493.926224916484, 444.107494891262, 439.120303070578, 365.25, 0.854873572994419, 0.822436018760346, 0.683829857671413, 0.565486301398509, 0.629960524947437, 0.5, 944.157553388402
913.125, 300, 150, 75, 150, 150, 0.00189773355389444, 0.3, 0, 0.5, 1.5, 0.00284660033084166, 944.157553388402, 0.00156076442873287, 0.000736172106225932, 493.926224916484, 444.107494891262, 439.120303070578, 365.25, 0.854873572994419, 0.822436018760346, 0.683829857671413, 0.565486301398509, 0.629960524947437, 0.5, 944.157553388402
547.875, 500, 250, 125, 250, 250, 0.00189773355389444, 0.3, 0, 0.5, 1.5, 0.00284660033084166, 944.157553388402, 0.00163304844387158, 0.000753616303253693, 481.318368013418, 424.449858276495, 439.120303070578, 365.25, 0.885482373014153, 0.860525673122192, 0.671898967272555, 0.550751844561544, 0.629960524947437, 0.5, 944.157553388402
913.125, 500, 250, 125, 250, 250, 0.00189773355389444, 0.3, 0, 0.5, 1.5, 0.00284660033084166, 944.157553388402, 0.00163304844387158, 0.000753616303253693, 481.318368013418, 424.449858276495, 439.120303070578, 365.25, 0.885482373014153, 0.860525673122192, 0.671898967272555, 0.550751844561544, 0.629960524947437, 0.5, 944.157553388402
547.875, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.3, 0, 0.5, 1.5, 0.00284660033084166, 944.157553388402, 0.00169791384963008, 0.000768829113523291, 470.417287186504, 408.234599600539, 439.120303070578, 365.25, 0.913208059476774, 0.894706133084751, 0.661369877917097, 0.537856741737457, 0.629960524947437, 0.5, 944.157553388402
913.125, 1000, 500, 250, 500, 500, 0.00189773355389444, 0.3, 0, 0.5, 1.5, 0.00284660033084166, 944.157553388402, 0.00169791384963008, 0.000768829113523291, 470.417287186504, 408.234599600539, 439.120303070578, 365.25, 0.913208059476774, 0.894706133084751, 0.661369877917097, 0.537856741737457, 0.629960524947437, 0.5, 944.157553388402
547.875, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.3, 0, 0.5, 1.5, 0.00284660033084166, 944.157553388402, 0.00171462808514444, 0.000772684538761313, 467.669549152624, 404.255118976168, 439.120303070578, 365.25, 0.920390078909882, 0.903513605282342, 0.658683627953344, 0.534583196277621, 0.629960524947437, 0.5, 944.157553388402
913.125, 1500, 750, 375, 750, 750, 0.00189773355389444, 0.3, 0, 0.5, 1.5, 0.00284660033084166, 944.157553388402, 0.00171462808514444, 0.000772684538761313, 467.669549152624, 404.255118976168, 439.120303070578, 365.25, 0.920390078909882, 0.903513605282342, 0.658683627953344, 0.534583196277621, 0.629960524947437, 0.5, 944.157553388402
