scenario,n_pat,recruitment, final_events, n_ctrl, n_trt, hazard_ctrl, effect_size_ph, hr_ph, median_survival_trt, median_survival_ctrl,big dataset run,small dataset run,med_diff,AHR_6m,AHR_12m,gAHR_6m,gAHR_12m,milestone_surv_ratio_6m,milestone_surv_ratio_12m,milestone_surv_ratio_24m,RMST_diff_6m,RMST_diff_12m
16,1500,913.125,1125,750,750,0.00189773355389444,0.8,0.862202846704332,431.6591694,365.25,run73,run201,75.083125,1.6132052230904300,1.208451767534950,1.4715926659454400,1.0460481527540100,0.8841855369863920,1.0711502591371800,1.551312942489860,-22.95482453768850,-26.442245371411400
17,300,547.875,225,150,150,0.00379546710778889,0.8,0.71782463450428,265.3313881,182.625,run80,run208,59.11091666666670,1.1372922908611800,0.9326355007511190,1.0170406837955100,0.768783467919169,1.0818368986480800,1.6670148330914000,3.7587510711104700,-9.75177424431556,10.99568530890720
17,300,913.125,225,150,150,0.00379546710778889,0.8,0.71782463450428,265.3313881,182.625,run80,run208,59.11091666666670,1.1372922908611800,0.9326355007511190,1.0170406837955100,0.768783467919169,1.0818368986480800,1.6670148330914000,3.7587510711104700,-9.75177424431556,10.99568530890720
18,1500,547.875,1125,750,750,0.00379546710778889,0.8,0.862202846704332,215.8295847,182.625,run81,run209,30.472208333333300,1.172460001828680,0.9747702777070600,1.051983183578020,0.8068744446910670,1.0449594686143800,1.5669815240462600,3.3280746451594800,-11.421601981290900,5.913746484037150
18,1500,913.125,1125,750,750,0.00379546710778889,0.8,0.862202846704332,215.8295847,182.625,run81,run209,30.472208333333300,1.172460001828680,0.9747702777070600,1.051983183578020,0.8068744446910670,1.0449594686143800,1.5669815240462600,3.3280746451594800,-11.421601981290900,5.913746484037150
19,300,547.875,225,150,150,0.000632577851298148,0.9,0.676930033682325,1688.163301,1095.75,run89,run216,566.9518750000000,2.624540406200600,1.5264655287630100,2.4483708722821600,1.3926794434464200,0.8684924827552150,0.94703514273797,1.1147480325901800,-23.72905238252540,-38.24272893927860
19,300,913.125,225,150,150,0.000632577851298148,0.9,0.676930033682325,1688.163301,1095.75,run89,run216,566.9518750000000,2.624540406200600,1.5264655287630100,2.4483708722821600,1.3926794434464200,0.8684924827552150,0.94703514273797,1.1147480325901800,-23.72905238252540,-38.24272893927860
20,1500,547.875,1125,750,750,0.000632577851298148,0.9,0.839879296815719,1329.397329,1095.75,,run217,216.15250000000000,3.228716256222760,1.9817209825628600,3.0015124883521900,1.790755517969460,0.8034252023893320,0.8622735447648880,0.9899798728408110,-30.430724062139600,-56.25520240081880
20,1500,913.125,1125,750,750,0.000632577851298148,0.9,0.839879296815719,1329.397329,1095.75,,run217,216.15250000000000,3.228716256222760,1.9817209825628600,3.0015124883521900,1.790755517969460,0.8034252023893320,0.8622735447648880,0.9899798728408110,-30.430724062139600,-56.25520240081880
21,300,547.875,225,150,150,0.00189773355389444,0.9,0.676930033682325,562.7211003,365.25,run72,run204,177.4477916666670,1.499691483009350,1.0984724438921000,1.3666948700349700,0.9511425637848900,0.9254665859069080,1.1465517458052900,1.7290269560727600,-19.774277748853400,-17.55241109610350
21,300,913.125,225,150,150,0.00189773355389444,0.9,0.676930033682325,562.7211003,365.25,run72,run204,177.4477916666670,1.499691483009350,1.0984724438921000,1.3666948700349700,0.9511425637848900,0.9254665859069080,1.1465517458052900,1.7290269560727600,-19.774277748853400,-17.55241109610350
22,1500,547.875,1125,750,750,0.00189773355389444,0.9,0.839879296815719,443.132443,365.25,run74,run205,84.79174999999990,1.5949971608137200,1.1939457469572600,1.4554003564236000,1.0341218347969400,0.8889978160650940,1.078294871393470,1.5613154939129000,-22.522392898442000,-25.406572420217600
22,1500,913.125,1125,750,750,0.00189773355389444,0.9,0.839879296815719,443.132443,365.25,run74,run205,84.79174999999990,1.5949971608137200,1.1939457469572600,1.4554003564236000,1.0341218347969400,0.8889978160650940,1.078294871393470,1.5613154939129000,-22.522392898442000,-25.406572420217600
23,300,547.875,225,150,150,0.00379546710778889,0.9,0.676930033682325,281.3605501,182.625,run83,run210,87.26387500000000,1.087884189246060,0.8887875365822440,0.9715794115195160,0.7316561059977540,1.111532281305380,1.7299454102186500,3.9678702485760400,-8.044547970036160,15.776916759451800
23,300,913.125,225,150,150,0.00379546710778889,0.9,0.676930033682325,281.3605501,182.625,run83,run210,87.26387500000000,1.087884189246060,0.8887875365822440,0.9715794115195160,0.7316561059977540,1.111532281305380,1.7299454102186500,3.9678702485760400,-8.044547970036160,15.776916759451800
24,1500,547.875,1125,750,750,0.00379546710778889,0.9,0.839879296815719,221.5662215,182.625,run82,run211,35.62483333333330,1.1620906774692800,0.9642813354189560,1.0426014211346100,0.7975010067989390,1.0509934236080000,1.5841436224974400,3.375418481220730,-11.043702808856900,6.971840534718300
24,1500,913.125,1125,750,750,0.00379546710778889,0.9,0.839879296815719,221.5662215,182.625,run82,run211,35.62483333333330,1.1620906774692800,0.9642813354189560,1.0426014211346100,0.7975010067989390,1.0509934236080000,1.5841436224974400,3.375418481220730,-11.043702808856900,6.971840534718300
