recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, censoring_prop, delay, effect_size_ph, hazard_trt, random_withdrawal, rmst_trt, median_survival_trt, rmst_ctrl, median_survival_ctrl, gAHR, AHR, ms_surv_8_trt, ms_surv_12_trt, ms_surv_8_ctrl, ms_surv_12_ctrl, cutoff_used
913.125, 300, 113, 225, 150, 150, 0.000632577851298148, 0.3, 60.875, 0.8, 0.00049164670693531, 0.000238362945528535, 2016.67057715012, 1392.39821499899, 1580.82181178369, 1095.75, 0.784668958197968, 0.784718095209626, 0.879593722976629, 0.828487820306313, 0.857243982853073, 0.7937005259841, 18733.6561845172
547.875, 500, 188, 375, 250, 250, 0.000632577851298148, 0.3, 60.875, 0.8, 0.000510507538798147, 0.000243088979191717, 1944.36590662518, 1343.20474855443, 1580.81561579395, 1095.75, 0.813591341653131, 0.813639540093315, 0.876569209989107, 0.823745291743439, 0.857243982853073, 0.7937005259841, 18041.5364553861
913.125, 500, 188, 375, 250, 250, 0.000632577851298148, 0.3, 60.875, 0.8, 0.000510507538798147, 0.000243088979191717, 1944.36590662518, 1343.20474855443, 1580.81561579395, 1095.75, 0.813591341653131, 0.813639540093315, 0.876569209989107, 0.823745291743439, 0.857243982853073, 0.7937005259841, 18041.5364553861
547.875, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.3, 60.875, 0.8, 0.000510507538798147, 0.000243088979191717, 1944.36590662518, 1343.20474855443, 1580.81561579395, 1095.75, 0.813591341653131, 0.813639540093315, 0.876569209989107, 0.823745291743439, 0.857243982853073, 0.7937005259841, 18041.5364553861
913.125, 1000, 375, 750, 500, 500, 0.000632577851298148, 0.3, 60.875, 0.8, 0.000510507538798147, 0.000243088979191717, 1944.36590662518, 1343.20474855443, 1580.81561579395, 1095.75, 0.813591341653131, 0.813639540093315, 0.876569209989107, 0.823745291743439, 0.857243982853073, 0.7937005259841, 18041.5364553861
547.875, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.3, 60.875, 0.8, 0.000571542695048147, 0.000257614511105628, 1743.09936162347, 1206.26450376581, 1580.77397230507, 1095.75, 0.906996043839668, 0.907019370419428, 0.866852744598201, 0.80858337314942, 0.857243982853073, 0.7937005259841, 16114.8772467476
913.125, 1500, 563, 1125, 750, 750, 0.000632577851298148, 0.3, 60.875, 0.8, 0.000571542695048147, 0.000257614511105628, 1743.09936162347, 1206.26450376581, 1580.77397230507, 1095.75, 0.906996043839668, 0.907019370419428, 0.866852744598201, 0.80858337314942, 0.857243982853073, 0.7937005259841, 16114.8772467476
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.3, 60.875, 0.8, 0.00127023228358311, 0.000661526637679394, 758.782967780553, 515.612812864625, 526.943806826999, 365.25, 0.699362900103602, 0.700036440761178, 0.706451518789749, 0.605227123044593, 0.629960524947437, 0.5, 7250.91031854062
913.125, 300, 113, 225, 150, 150, 0.00189773355389444, 0.3, 60.875, 0.8, 0.00127023228358311, 0.000661526637679394, 758.782967780553, 515.612812864625, 526.943806826999, 365.25, 0.699362900103602, 0.700036440761178, 0.706451518789749, 0.605227123044593, 0.629960524947437, 0.5, 7250.91031854062
547.875, 500, 188, 375, 250, 250, 0.00189773355389444, 0.3, 60.875, 0.8, 0.0014222455043888, 0.000702329011657062, 683.824240207481, 467.009277580192, 526.94193999779, 365.25, 0.773413410875463, 0.773602515760721, 0.687109153341108, 0.577861819504662, 0.629960524947437, 0.5, 6475.91456155403
