recruitment, n_pat, interim_events, final_events, n_ctrl, n_trt, hazard_ctrl, prog_prop_trt, prog_prop_ctrl, hr_before_after, censoring_prop, effect_size_ph, hazard_after_prog, hazard_trt, prog_rate_trt, prog_rate_ctrl, random_withdrawal, median_survival_trt, median_survival_ctrl, rmst_trt_6m, rmst_ctrl_6m, gAHR_6m, AHR_6m, rmst_trt_12m, rmst_ctrl_12m, gAHR_12m, AHR_12m, milestone_survival_trt_6m, milestone_survival_ctrl_6m, milestone_survival_trt_12m, milestone_survival_ctrl_12m
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.2, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000948866776947221, 0.000948866776947221, 0, 180, 180, 131.728591100172, 131.728591100172, 1, 1, 196.096821086991, 196.096821086991, 1, 1, 0.495170147879946, 0.495170147879946, 0.239467334881789, 0.239467334881789
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.2, 0.2, 0.8, 0, 0, 0.00474433388473611, 0.00379546710778889, 0.000948866776947221, 0.000948866776947221, 0, 180, 180, 131.728591100172, 131.728591100172, 1, 1, 196.096821086991, 196.096821086991, 1, 1, 0.495170147879946, 0.495170147879946, 0.239467334881789, 0.239467334881789
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.1, 0.5, 0, 0, 0.00379546710778889, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 356, 356, 154.485117983279, 154.485117983279, 1, 1, 262.542939772141, 262.542939772141, 1, 1, 0.704030298515571, 0.704030298515571, 0.490230666269447, 0.490230666269447
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0.1, 0.5, 0, 0, 0.00379546710778889, 0.00189773355389444, 0.000210859283766049, 0.000210859283766049, 0, 356, 356, 154.485117983279, 154.485117983279, 1, 1, 262.542939772141, 262.542939772141, 1, 1, 0.704030298515571, 0.704030298515571, 0.490230666269447, 0.490230666269447
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0.1, 0.5, 0, 0, 0.00759093421557777, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 178, 178, 131.439805209205, 131.439805209205, 1, 1, 195.01290180346, 195.01290180346, 1, 1, 0.491640816140797, 0.491640816140797, 0.234973113889946, 0.234973113889946
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0.1, 0.5, 0, 0, 0.00759093421557777, 0.00379546710778889, 0.000421718567532098, 0.000421718567532098, 0, 178, 178, 131.439805209205, 131.439805209205, 1, 1, 195.01290180346, 195.01290180346, 1, 1, 0.491640816140797, 0.491640816140797, 0.234973113889946, 0.234973113889946
547.875, 300, 113, 225, 150, 150, 0.00189773355389444, 0.1, 0.2, 0.5, 0, 0, 0.00379546710778889, 0.00189773355389444, 0.000210859283766049, 0.000474433388473611, 0, 356, 344, 154.485117983279, 154.127852731123, 0.994181921754048, 0.980732597808341, 262.542939772141, 260.564395204532, 0.983767407100451, 0.968838660951136, 0.704030298515571, 0.698940188807426, 0.490230666269447, 0.477893992658111
547.875, 1000, 375, 750, 500, 500, 0.00189773355389444, 0.1, 0.2, 0.5, 0, 0, 0.00379546710778889, 0.00189773355389444, 0.000210859283766049, 0.000474433388473611, 0, 356, 344, 154.485117983279, 154.127852731123, 0.994181921754048, 0.980732597808341, 262.542939772141, 260.564395204532, 0.983767407100451, 0.968838660951136, 0.704030298515571, 0.698940188807426, 0.490230666269447, 0.477893992658111
547.875, 300, 113, 225, 150, 150, 0.00379546710778889, 0.1, 0.2, 0.5, 0, 0, 0.00759093421557777, 0.00379546710778889, 0.000421718567532098, 0.000948866776947221, 0, 178, 172, 131.439805209205, 130.444060895229, 0.983698187842108, 0.968682617469324, 195.01290180346, 191.01146106387, 0.96561355862704, 0.955870048114724, 0.491640816140797, 0.479283409505817, 0.234973113889946, 0.216561275128987
547.875, 1000, 375, 750, 500, 500, 0.00379546710778889, 0.1, 0.2, 0.5, 0, 0, 0.00759093421557777, 0.00379546710778889, 0.000421718567532098, 0.000948866776947221, 0, 178, 172, 131.439805209205, 130.444060895229, 0.983698187842108, 0.968682617469324, 195.01290180346, 191.01146106387, 0.96561355862704, 0.955870048114724, 0.491640816140797, 0.479283409505817, 0.234973113889946, 0.216561275128987
